"","device_id","phone_brand","device_model"
"10726","-2833179855410359324","魅族","魅蓝Note 2"
"10728","-7886872648476484087","魅族","MX5"
"10729","-6238937574958215831","OPPO","R7s"
"10730","5896408079890756088","小米","红米"
"10731","9123578208462773473","斐讯","C730Lw"
"10736","-804882278118238290","努比亚","Z9 Max"
"10737","2421200571595727174","三星","Galaxy S2"
"10738","3593291294363439879","酷派","大神F1Plus"
"10739","-8199115853368718862","华为","麦芒4"
"10741","-4641607270990134510","小米","note顶配版"
"10742","5982238768201445317","vivo","Y17T"
"10745","4870550249823335195","vivo","X3T"
"10746","-3209436076656300924","魅族","魅蓝2"
"10748","3320404370593480560","魅族","MX4"
"10750","-8599383878807045594","华为","Mate 8"
"10751","6287691801534529275","华为","荣耀6"
"10752","-1705589393591453881","vivo","Y51"
"10753","4850625369950350903","小米","MI 2S"
"10754","-1626914241434769107","vivo","X5Pro"
"10756","-6855523020934828441","酷派","大神Note3"
"10757","6310754827017778830","小米","红米note"
"10760","1802397685530995667","OPPO","A51"
"10766","-7682061374093241977","三星","Galaxy S6 Edge+"
"10767","-6249973403094811149","魅族","魅蓝Note 2"
"10769","-1483522071287456659","三星","Galaxy Note 4"
"10770","-1087216240998270009","华为","麦芒3"
"10771","-8290049751573565686","小米","note顶配版"
"10772","4302956307279090661","小米","红米Note2"
"10774","1511136075194093269","三星","Galaxy Grand 2"
"10775","-4298458872759969062","vivo","X6 D"
"10779","-2659978419129676300","魅族","MX3"
"10780","-2634171391322875113","金立","S5.1"
"10783","1877775838486905855","vivo","Y13"
"10784","-6181378856994800600","酷派","大神Note3"
"10785","3903436052909769998","三星","Galaxy Win"
"10786","7288461008310100610","乐视","超级手机1s"
"10788","-8382303739433883859","魅族","魅蓝metal"
"10790","1427934937997164515","小米","MI 2S"
"10791","-6670231727779511924","联想","S890"
"10792","1564998137283205584","小米","MI 2S"
"10793","-4274187834430768408","小米","MI 3"
"10796","8981770763506942973","三星","Galaxy Note 2"
"10797","-1919970327849702094","三星","Galaxy A7"
"10800","5362414323913396709","小米","MI 4"
"10802","-7684047763947175021","vivo","X6"
"10803","1928870466821397636","华为","荣耀畅玩5X"
"10804","8331820466278266401","vivo","X5Max+"
"10805","7595914372984889709","vivo","Y17T"
"10806","-304920224449339435","华为","B199"
"10810","-1424735588384400394","三星","Galaxy Note 5"
"10811","-1058976689976607809","华为","G660-L075"
"10812","-5315263296697866076","vivo","X6 L"
"10813","6734829248962298534","华为","Ascend P7"
"10816","3322518315419940833","华为","荣耀畅玩4"
"10817","-4760783336195330962","三星","Galaxy Note 2"
"10818","-3377796193675656872","小米","MI 3"
"10820","-3142655367705601474","华为","荣耀3C"
"10821","-1613570835795443921","三星","Galaxy S6"
"11770","-8456286055802216248","三星","Galaxy Note 3"
"11771","-5680528600313102986","OPPO","A33"
"11774","-5884373836030891454","小米","MI 2S"
"11776","-5604847594354758002","OPPO","R7s"
"11778","2343579866000413303","华为","荣耀畅玩4C"
"11788","441068151364076046","小米","红米Note3"
"11792","-3766087376657242966","金立","V183"
"11794","2830724113915222201","魅族","MX4"
"11797","-6180508331895910539","小米","红米"
"11798","7005476777730782967","乐视","超级手机1s"
"11826","8774523953244308","小米","红米Note2"
"11916","901719057207290209","三星","Galaxy Grand DUOS"
"11918","-8150979147106106489","三星","Galaxy Tab 3 7.0"
"11922","2898210515309285576","三星","Galaxy Note 3"
"22586","-2503098472301313865","小米","红米note"
"22587","387904771848178909","魅族","MX3"
"22588","8973197758510677470","联想","A368t"
"22589","-5768075355765148094","努比亚","Z9 mini"
"22590","6579646464389596661","华为","P8 Lite"
"22591","-6271208612240211194","小米","MI 4"
"22592","4781989393190512097","HTC","One"
"22594","2794654647967662571","vivo","X6 D"
"22595","-17280806490387955","OPPO","N1 Mini"
"22596","7570310978764027772","OPPO","R2017"
"22597","-4806692189578332532","HTC","802w"
"22599","-3204910612963454775","中国移动","A1"
"22601","-9180330522697778980","华为","荣耀6 Plus"
"22602","-2015528097870762664","小米","红米Note2"
"22604","7230952670608362680","三星","I9118"
"22605","-6289140063501067264","三星","三星big foot"
"22606","2447736478478001359","小米","红米Note2"
"22609","404062046251032949","小米","红米Note3"
"22611","1412782850750573790","华为","荣耀畅玩5"
"22616","4301856296238192314","三星","Galaxy Note 3"
"22617","-303905813567710988","三星","Galaxy Note Edge"
"22618","-1542996295220567577","华为","Mate 7"
"22620","-1076064832252218291","小米","红米Note2"
"22621","374615208533646829","三星","三星big foot"
"22623","439861475547532675","三星","Galaxy S4"
"22624","-7690683540456031839","魅族","魅蓝metal"
"22626","1877775838486905855","vivo","Y13"
"22627","-8918590811203249338","vivo","X6 Plus"
"22628","7566850031220622843","三星","Galaxy Mega 2"
"22629","-6907265015238431773","OPPO","R7 Plus"
"22631","3888046152514759348","酷派","大神F1Plus"
"22632","7568632104990663274","小米","红米2"
"22633","2218943865544926317","华为","Mate 8"
"22634","7329184705789788133","乐视","超级手机1s"
"22635","-8237879889852702762","三星","Galaxy Win"
"22636","-5600411672557712002","vivo","X5Max+"
"22637","59662067188657521","三星","Galaxy Note 2"
"22640","-3766087376657242966","金立","V183"
"22642","-341101001494259523","华为","荣耀畅玩5X"
"22644","4583484865944095848","三星","2016版 Galaxy A9"
"22647","9129895015168860705","联想","A768t"
"22649","-1666194097797895898","三星","Galaxy S6 Edge"
"22651","4861461186174922250","三星","Galaxy S4"
"22653","-2526386806972133373","三星","Galaxy Grand Prime"
"22656","2866484947180243791","三星","Galaxy Note 2"
"22658","-2827401485760766914","vivo","Y923"
"22659","-221375520372280325","华为","C8816"
"22660","-4233361348052236438","华为","P8 Lite"
"22662","-7760375296048207374","OPPO","R7s"
"22664","1765832412855586400","三星","Galaxy Note 5"
"22740","4896722578126020429","vivo","Y927"
"22741","-4222926404776867052","华为","荣耀3X畅玩版"
"23590","-8663684824114969776","魅族","魅蓝NOTE"
"23594","6393760196638952234","小米","MI 3"
"23596","3499606308287217696","华为","Mate S"
"23598","-7157178797095341985","OPPO","Find 7"
"23600","-4406013423842684423","小米","MI 4"
"23610","-8896952452425303597","小米","红米Note3"
"23618","6178324786347222418","华为","荣耀7"
"23630","2369956299833892150","魅族","魅蓝metal"
"23666","-6744373590614380739","小米","MI 3"
"23678","2197596771226195333","魅族","MX5"
"23725","7702755134578190493","中兴","星星1号"
"23736","-3956775765820941619","小米","红米note"
"23798","-6512765969538027216","金立","M5"
"23850","7282984770550295272","OPPO","R3"
"30590","7986963667228266030","三星","Galaxy Note 2"
"34346","4291021975658762554","华为","荣耀6"
"34347","7510165937234999249","小米","红米note增强版"
"34349","6328635369683925487","华为","G520-5000"
"34350","966272636254630116","华为","Ascend P8"
"34351","-6238937574958215831","OPPO","R7s"
"34352","-5785453752075092134","康佳","D557"
"34353","8973197758510677470","联想","A368t"
"34355","-4903249408344133295","华为","荣耀7"
"34356","-8297014420679937111","中国移动","A1"
"34357","387904771848178909","魅族","MX3"
"34358","4720265751072042970","华为","荣耀6"
"34360","-594611196730031387","华为","荣耀畅玩4"
"34366","4685911959448355927","华为","畅享5S"
"34367","-8916894184536072021","小米","MI 3"
"34368","-3389605147156464826","酷派","F2"
"34370","309071519503024282","华为","Ascend P8"
"34374","-7960075256556123455","联想","黄金斗士Note8"
"34375","-1788272684905942357","OPPO","R1C"
"34376","4219008844945114474","LG","Nexus 4"
"34378","-2015528097870762664","小米","红米Note2"
"34379","-923037099129035795","三星","Galaxy Grand 2"
"34380","7041718166515288774","华为","荣耀4A"
"34382","7593634508685226266","三星","Galaxy Trend 3"
"34383","8388712465212304050","OPPO","A31"
"34384","-4565983969660056221","华为","荣耀4A"
"34386","320475938977913717","联想","黄金斗士Note8"
"34387","-7253346791493395193","华为","荣耀7"
"34389","4357336183852504866","华为","Mate 8"
"34390","56416209620161883","乐视","超级手机1s"
"34391","9196371203514832504","OPPO","R7 Plus"
"34392","859579705556311644","华为","荣耀畅玩4X"
"34393","-1236911788776265857","魅族","魅蓝Note 2"
"34394","-7361550133515393269","魅族","MX5"
"34395","-8705713195059105949","vivo","X6 L"
"34396","-3787487438575240525","魅族","魅蓝2"
"34399","-8896952452425303597","小米","红米Note3"
"34400","5414074028005237769","vivo","Y22IL"
"34401","4287402670972459459","华为","C8818"
"34407","-1529784001868224729","小米","红米note"
"34409","3773929364530635568","三星","Galaxy S4"
"34412","-3720826430666990843","vivo","X6 D"
"34414","8313479583375224298","小米","MI 4"
"34415","-192352794899525229","华为","荣耀7"
"34417","-973648844427824354","华为","Mate 8"
"34418","7284092388756598809","vivo","Y35"
"34419","-8540295138813735474","HTC","One"
"35329","5342470713762787513","酷派","锋尚"
"35330","3849619405853553440","OPPO","R7s"
"35331","-2195934948798249763","小米","红米2A"
"35332","-2931411985196857253","三星","Galaxy S6 Edge+"
"35333","-4673024056609443545","OPPO","3000"
"35334","-2634171391322875113","金立","S5.1"
"35338","4774893156465007808","华为","荣耀7i"
"35341","6413840150233100470","小米","MI 3"
"35343","-6393031851431232405","vivo","X6 Plus D"
"35349","-7039343669382921813","联想","黄金斗士A8"
"35354","1007755754283259255","酷派","大神F1Plus"
"35357","-2526386806972133373","三星","Galaxy Grand Prime"
"35358","2210317512148990062","三星","Galaxy S4"
"35360","-9042966463857944795","小米","红米1S"
"35386","1427934937997164515","小米","MI 2S"
"35433","6388479051361027798","HTC","One"
"35435","-8500139414037057282","乐视","超级手机1s"
"35505","-1777067520160984577","三星","Galaxy S3"
"35559","7595914372984889709","vivo","Y17T"
"35593","7763696761664675092","小米","红米note"
"35612","2866484947180243791","三星","Galaxy Note 2"
"35613","-5359700961533042039","华为","荣耀畅玩5"
"35614","-6277206282859078288","乐视","超级手机1"
"45948","-7297178577997113203","华为","荣耀畅玩5X"
"46222","2453787962401439068","华为","荣耀7"
"46224","-6161462759830204645","华为","Mate 8"
"46226","9094512285229743128","华为","荣耀4A"
"46227","6550029020550810256","vivo","S7"
"46228","-8468443715064345118","小米","MI pad 2"
"46231","-7433504688399805169","小米","红米2A"
"46232","-3070997689400237037","酷派","Y80D"
"46233","-7078729360014659680","小米","MI 3"
"46234","-4941757251016335453","OPPO","R6007"
"46236","6956394054941708213","华为","荣耀7"
"46239","4685911959448355927","华为","畅享5S"
"46240","1146798810589827549","OPPO","R1C"
"46241","-4767466563529773799","金立","F103"
"46242","5945832002839449530","酷派","大神Note3"
"46245","-3031805933682923851","聆韵","小苹果"
"46246","-8925922736225542204","华为","荣耀畅玩4"
"46247","-5092591906120893907","三星","领世旗舰3"
"46248","-5678250733445610118","三星","三星big foot"
"46249","-5416509784663602024","小米","红米note"
"46253","-3316415803190016190","三星","Galaxy Note 3"
"46254","-1788272684905942357","OPPO","R1C"
"46256","3888046152514759348","酷派","大神F1Plus"
"46257","4855441549070592333","vivo","Y13T"
"46258","-1679709897021657744","华为","Ascend P7"
"46259","-486318532234842301","小米","红米note增强版"
"46260","7593634508685226266","三星","Galaxy Trend 3"
"46261","1745258380438299887","华为","荣耀7"
"46262","164929208076315060","魅族","魅蓝metal"
"46263","-8290049751573565686","小米","note顶配版"
"46264","7566850031220622843","三星","Galaxy Mega 2"
"46265","-7253346791493395193","华为","荣耀7"
"46266","6756544165514164096","小米","MI 3"
"46267","5979622148243063834","OPPO","R7s"
"46268","-7137644614871452665","HTC","One M8"
"46269","5658503144090334304","小米","红米Note3"
"46270","-6958007060030955718","西米","R5s plus"
"46271","7301892667788714334","vivo","Xplay"
"46272","-2224375466071717098","酷派","大神Note3"
"46274","-5082752532026079031","三星","Galaxy A7"
"46275","7702755134578190493","中兴","星星1号"
"46276","-7864441754972027054","三星","Galaxy J7"
"46277","175201931141654741","vivo","X3T"
"46281","2210317512148990062","三星","Galaxy S4"
"46283","-6491118734144336723","vivo","X6 D"
"46284","-431477856543730136","三星","Galaxy S4"
"46285","-6164920648077652398","小米","红米Note3"
"46286","-8184891614512981731","小米","MI 2S"
"46287","-6356216319990099800","小米","红米Note3"
"46292","6413840150233100470","小米","MI 3"
"46293","2119034476685294092","百立丰","T2"
"46295","7262533509006343353","OPPO","Find 7"
"46296","6309757818867179813","vivo","X5Pro"
"46297","-4594634246146853476","小米","红米note"
"46298","-7157178797095341985","OPPO","Find 7"
"46299","935391922691630796","小米","小米4C"
"46301","6622408352024744753","vivo","X6"
"46304","-829065926810146297","酷派","大神Note3"
"46305","9169567266060728256","奇酷","青春版"
"46307","-6387871799128773498","OPPO","R7 Plus"
"47266","-3910393802259418325","三星","Galaxy Note 4"
"47268","8338377127366376203","华为","P8 Lite"
"47269","2778560667844034418","OPPO","A11"
"47270","9196371203514832504","OPPO","R7 Plus"
"47274","-2827401485760766914","vivo","Y923"
"47275","5964431866317811763","小米","小米note"
"47276","-7422974650450185837","华为","荣耀畅玩4"
"47283","-2782650786313961616","乐视","超级手机1s"
"47288","4013070155020874874","华为","荣耀7i"
"47290","4484698257486135221","魅族","魅蓝NOTE"
"47295","7139753548912705278","锤子","坚果手机"
"47299","5276405212659696098","三星","Galaxy S6"
"47325","7594070814495944699","小米","红米2A"
"47333","7724554632426862699","乐视","超级手机1s"
"47338","6661127336887686889","西米","R5s plus"
"47350","-6189495255928696105","OPPO","R1C"
"47353","3773929364530635568","三星","Galaxy S4"
"47389","-221375520372280325","华为","C8816"
"47403","-6492867557645793199","HTC","One M8"
"47456","8778900262406705317","vivo","X5Max+"
"47527","-1529784001868224729","小米","红米note"
"47543","-3904906463053896411","OPPO","R827T"
"56154","-3035141074699412916","三星","Galaxy S5"
"57780","-4694231482794047022","三星","Galaxy S4"
"57783","-5770103517457369632","魅族","MX3"
"57784","4850625369950350903","小米","MI 2S"
"57785","5741014807410388718","华为","荣耀畅玩4X"
"57787","-2241630667689903982","三星","Galaxy A5"
"57788","-8705713195059105949","vivo","X6 L"
"57789","-8237879889852702762","三星","Galaxy Win"
"57790","2557160834502281249","三星","Galaxy Note 4"
"58355","6634083423276574187","OPPO","R7s"
"58375","5504603913151590784","OPPO","R7"
"58376","8160454408307831353","华为","Y560-CL00"
"58377","-7576597756028049029","魅族","MX2"
"58378","-5404377002775802917","华为","Mate 8"
"58382","-431477856543730136","三星","Galaxy S4"
"58388","-2484910668261382496","酷派","大神Note3"
"58389","-7782600702545542064","沃普丰","S2"
"58396","-7551177178690081198","三星","Galaxy J7"
"58402","9169567266060728256","奇酷","青春版"
"58405","-2659978419129676300","魅族","MX3"
"58422","7232153899613479324","华为","荣耀畅玩4C"
"58426","7284092388756598809","vivo","Y35"
"58430","-3319756901277192248","OPPO","R7s"
"58433","-2863652019383493036","小米","红米Note3"
"58439","5470448269705457016","华为","荣耀畅玩4C"
"58457","-5720736973688964329","联想","P70"
"58530","-8591503669643756528","酷派","大神Note3"
"58549","1033473240445570976","vivo","Y11"
"58620","4861461186174922250","三星","Galaxy S4"
"69272","4219008844945114474","LG","Nexus 4"
"69273","-3031805933682923851","聆韵","小苹果"
"69276","1371155293273343747","华为","Ascend G700T"
"69278","6328635369683925487","华为","G520-5000"
"69280","-6412600906237434762","华为","Ascend P8"
"69281","3178235170154528448","小米","note顶配版"
"69282","8422642941749761362","小米","红米Note2"
"69284","-6829538456552715347","OPPO","R7s"
"69285","4805706570926146072","三星","Galaxy J5"
"69290","-804882278118238290","努比亚","Z9 Max"
"69291","-8957138290970293636","美图","V4"
"69294","4436889720811214533","OPPO","R3"
"69295","3933771970884817615","酷派","8089"
"69296","-7525913571507064767","三星","Galaxy A8"
"69297","-7547264027066400033","三星","Galaxy Note 3"
"69298","9218059356897525342","华为","畅享5S"
"69300","9130151287294646114","vivo","X1ST"
"69301","-8318939914450418416","三星","Galaxy S4"
"69302","3120882575572050494","三星","Galaxy S4"
"69303","-6590454305031525112","小米","MI 3"
"69305","6387254641403227438","华为","麦芒4"
"69306","6808444702830632325","小米","MI 3"
"69310","-438649052107735582","小米","红米2A"
"69311","4502509210789073991","华为","荣耀畅玩5X"
"69312","7041718166515288774","华为","荣耀4A"
"69313","5571598254963832443","小米","红米Note2"
"69318","-1236911788776265857","魅族","魅蓝Note 2"
"69322","-8180018240204034697","小米","MI 4"
"69327","8160454408307831353","华为","Y560-CL00"
"69328","-7478403264224063150","OPPO","Find 7"
"69330","4774893156465007808","华为","荣耀7i"
"69332","6658623800651213319","魅族","魅蓝NOTE"
"69333","-1054056445342375195","华为","畅享5"
"69334","3849619405853553440","OPPO","R7s"
"69335","441068151364076046","小米","红米Note3"
"69337","8778900262406705317","vivo","X5Max+"
"69339","-4673024056609443545","OPPO","3000"
"69340","-3105831442627717296","华为","荣耀6"
"69342","-6564190854652214066","TCL","乐玩"
"69345","4876568328893034974","三星","Galaxy Note 2"
"69347","5470448269705457016","华为","荣耀畅玩4C"
"69348","4494927009014860377","华为","C8817E"
"69349","3472154856123439707","酷派","5263S"
"69350","4013070155020874874","华为","荣耀7i"
"69352","-4217430469461205982","ZUK","Z1"
"69353","892394923611536067","小米","MI 4"
"69355","2053126080649691445","华为","荣耀畅玩4X"
"69358","8872872501015558044","OPPO","R7"
"69359","4850519931135521963","三星","Galaxy Note 2"
"69360","2343579866000413303","华为","荣耀畅玩4C"
"69361","7773746645476824910","三星","Galaxy A8"
"70299","-1831358856417318522","酷派","5891Q"
"70300","-9198513807097378193","酷派","F2"
"70306","-4674836899554721423","小米","红米2A"
"70313","1369352973364052752","魅族","M032"
"70328","3383277777100027416","小米","红米2A"
"70334","-7057153284340518073","华为","荣耀6 Plus"
"70401","3733394929369543215","三星","Galaxy Note 3"
"70403","-7314067039317617491","vivo","Y35"
"70466","-5351156306398789935","小米","红米note增强版"
"70482","-4274187834430768408","小米","MI 3"
"77247","-6061235625919848596","小米","红米note"
"81170","8903835421533115525","小米","红米Note3"
"81171","6147467636441216417","华为","荣耀畅玩4C运动版"
"81172","-2894845848207541139","三星","Galaxy A5"
"81173","8758897096423913501","语信","红辣椒"
"81175","-7314067039317617491","vivo","Y35"
"81176","9123578208462773473","斐讯","C730Lw"
"81178","-26393582122790144","魅族","魅蓝metal"
"81179","-3282480395441346852","小米","红米Note3"
"81180","-4445743945041469044","OPPO","A31"
"81185","-2841623206597236815","华为","荣耀畅玩4C"
"81188","-5846288818250659795","索尼","Xperia C"
"81190","8422642941749761362","小米","红米Note2"
"81192","-1228375842164681793","OPPO","A33"
"81193","-583539052683710527","中国移动","A1"
"81194","-7433504688399805169","小米","红米2A"
"81196","5228624207847850639","华为","Y560-CL00"
"81200","-1136983535447782553","酷派","K1"
"81203","796996875611352648","三星","Galaxy A8"
"81204","-467070000936996697","华为","Mate 7"
"81206","5945832002839449530","酷派","大神Note3"
"81207","-1060418556246365354","OPPO","R7 Plus"
"81209","-4694231482794047022","三星","Galaxy S4"
"81210","-3204910612963454775","中国移动","A1"
"81211","-4641607270990134510","小米","note顶配版"
"81212","5435517613682152801","vivo","X5M"
"81213","3427806384951056794","小米","红米note"
"81218","5741014807410388718","华为","荣耀畅玩4X"
"81219","2447736478478001359","小米","红米Note2"
"81220","4221732247156432961","乐视","超级手机1 Pro"
"81221","-3444781178626781487","小米","红米note"
"81223","-7059081542575379359","LG","Nexus 5"
"81225","6652039187840062981","华为","Ascend P8"
"81227","-923037099129035795","三星","Galaxy Grand 2"
"81228","-2847287302682131465","三星","Galaxy Trend 3"
"81231","8576520882817693026","三星","G3609"
"81234","-5038211333149736922","魅族","魅蓝NOTE"
"81237","-4565983969660056221","华为","荣耀4A"
"81238","7805089560632701207","vivo","Y51"
"81239","8774523953244308","小米","红米Note2"
"81241","1387515730398856374","华为","荣耀畅玩5X"
"81242","-5985258575918336503","魅族","MX3"
"81244","4940961636612557269","乐视","超级手机1s"
"81248","6388479051361027798","HTC","One"
"81249","4697490762869287621","OPPO","R7"
"81250","-4067845705776863403","OPPO","R7s"
"81252","8306657178945069911","小米","红米"
"81253","-7336460601002208292","OPPO","A33"
"81254","7789103553347044803","LG","Optimus G Pro"
"81256","-7551177178690081198","三星","Galaxy J7"
"81258","-1685367921739562842","魅族","MX3"
"81259","-7057153284340518073","华为","荣耀6 Plus"
"81260","736751141791305520","OPPO","R7"
"81262","8422453333155880068","OPPO","R7s"
"81263","7282984770550295272","OPPO","R3"
"81264","-7576597756028049029","魅族","MX2"
"81265","-3910393802259418325","三星","Galaxy Note 4"
"81266","7724554632426862699","乐视","超级手机1s"
"81267","-5359700961533042039","华为","荣耀畅玩5"
"81268","8562333322728650015","酷派","Y60-C1"
"81269","-2195934948798249763","小米","红米2A"
"82236","-6492880179011041882","三星","Galaxy Tab 4 T331C"
"82238","-192352794899525229","华为","荣耀7"
"82239","-829065926810146297","酷派","大神Note3"
"82242","2100964790765307727","小米","MI 2S"
"82246","-6356216319990099800","小米","红米Note3"
"82249","7758584288010080130","三星","Galaxy Grand 2"
"82250","-3892866716761013684","小米","MI 4"
"82252","-9194249084574705214","vivo","Y29L"
"82257","8613568657032244461","小米","MI 2"
"82259","5584810011068326983","vivo","Y17T"
"82280","5916433060511508090","华为","Y511-T00"
"82284","4785634440173407927","vivo","Y17T"
"82306","2416000186624933604","酷派","大神Note3"
"82322","6622408352024744753","vivo","X6"
"82348","-1054056445342375195","华为","畅享5"
"82371","5658503144090334304","小米","红米Note3"
"82416","5362414323913396709","小米","MI 4"
"82492","-5598897097605015192","华为","Ascend P8"
"82494","-719534379236493446","OPPO","R7"
"93000","-8527569638528406317","乐视","超级手机1"
"93002","-6271208612240211194","小米","MI 4"
"93003","6550029020550810256","vivo","S7"
"93005","2357604318530479558","魅族","MX3"
"93006","-2167163759291932789","索尼","Xperia Z"
"93007","1371155293273343747","华为","Ascend G700T"
"93008","-3282480395441346852","小米","红米Note3"
"93010","2262407102286811369","三星","Galaxy S6 Edge+"
"93011","-4806692189578332532","HTC","802w"
"93012","-8297014420679937111","中国移动","A1"
"93014","4805706570926146072","三星","Galaxy J5"
"93015","-3070997689400237037","酷派","Y80D"
"93017","-7955122281029282588","华为","荣耀畅玩5X"
"93018","-3836669138994763830","三星","Galaxy S4"
"93019","-583539052683710527","中国移动","A1"
"93021","-3004353610608679970","酷派","5891"
"93022","7995682190419358979","中兴","V5 Max"
"93023","1752662242799910620","三星","Galaxy Note 3"
"93026","7449678140470044600","魅族","魅蓝"
"93027","-3389605147156464826","酷派","F2"
"93028","6838418262718516720","三星","Galaxy A8"
"93032","-8318939914450418416","三星","Galaxy S4"
"93034","-7741986011007741697","魅族","魅蓝NOTE"
"93036","-7059081542575379359","魅族","魅蓝Note 2"
"93042","-8744527543418585034","华为","Mate 8"
"93044","-5574489785793567639","OPPO","R1"
"93045","-2478949766133199403","小米","红米1S"
"93047","7505000797198037214","酷派","大神F1"
"93048","8576520882817693026","三星","G3609"
"93049","-2863652019383493036","小米","红米Note3"
"93050","2498819670854710085","三星","Galaxy S4"
"93051","-7035001619256970861","三星","Galaxy Note 2"
"93052","-2563223711799722689","vivo","X6"
"93053","-8977849817626954804","华为","荣耀4A"
"93056","-5938152163857401514","OPPO","R7 Plus"
"93057","-496227732288709687","小米","红米2A"
"93058","2557160834502281249","三星","Galaxy Note 4"
"93059","-1777067520160984577","三星","Galaxy S3"
"93060","3928119960288063463","小米","MI 4"
"93062","-719534379236493446","OPPO","R7"
"93064","-6277206282859078288","乐视","超级手机1"
"93066","-5351156306398789935","小米","红米note增强版"
"93067","-5762037266485021759","小米","小米note"
"93068","-6169085572804926329","小米","红米1S"
"93070","-7422974650450185837","华为","荣耀畅玩4"
"93072","1369352973364052752","魅族","M032"
"93073","-5528420790675514412","华为","荣耀6"
"93074","901719057207290209","三星","Galaxy Grand DUOS"
"93075","-826549198998606903","小米","红米2A"
"93076","5342470713762787513","酷派","锋尚"
"93077","4225609108831475665","华为","麦芒3S"
"93078","-6512765969538027216","金立","M5"
"93079","-5404377002775802917","华为","Mate 8"
"93080","-3463609029492545965","魅族","魅蓝2"
"93081","2416000186624933604","酷派","大神Note3"
"93082","3383277777100027416","小米","红米2A"
"93083","-5720736973688964329","联想","P70"
"93084","5276405212659696098","三星","Galaxy S6"
"93085","-193968143909379547","小米","红米Note3"
"93086","719740747447246421","三星","Galaxy Grand Prime"
"93087","7096099415750029387","OPPO","R7"
"93089","7763696761664675092","小米","红米note"
"93091","-845139532698223858","华为","荣耀6 Plus"
"93092","-5598897097605015192","华为","Ascend P8"
"94000","8537247678198560821","一加","One"
"94051","-1542996295220567577","华为","Mate 7"
"94052","8313479583375224298","小米","MI 4"
"94053","-341101001494259523","华为","荣耀畅玩5X"
"94055","1161047465277003186","vivo","X5Pro"
"94057","-4126870804164380227","乐视","超级手机1"
"94058","56416209620161883","乐视","超级手机1s"
"94059","-4217430469461205982","ZUK","Z1"
"94061","3126924020357916246","联想","S868t"
"94117","4850519931135521963","三星","Galaxy Note 2"
"94191","9129895015168860705","联想","A768t"
